mis_z	GO:0008013	GO:0060070	GO:0006325	GO:2000463	Gene	B	prior	post	rchange
0.140544378072657	0	0	0	0	AGRN	0.0724959024725605	0.00560601866979894	0.000408537635303974	-369
-2.27589188516337	0	0	0	0	NOC2L	0.584079841410824	0.00139820231856188	0.000817137041357062	8927
3.20937144226326	0	0	0	0	B3GALT6	0.892077032602818	0.0320039950693847	0.0286489820174427	-2171
-0.419915664662871	0	0	0	0	C1orf159	0.501987303171046	0.00406466235305884	0.00204454767692294	3348
0.212785810450386	0	0	0	0	ISG15	0.900697043203538	0.00584299591243887	0.0052658247441594	3936
0.575586310599741	0	0	0	0	KLHL17	1.96264295717239	0.00719229313994396	0.0140188430350941	1594
-3.32894156576519	0	0	0	0	PLEKHN1	0.624656757029046	0.000762484988149641	0.00047642778701546	10910
-3.78619594189517	0	0	0	0	SAMD11	2.28313638227022	0.000585924005115536	0.00133673953320406	13565
3.60208899915439	0	0	0	0	OR4F5	0.565251424193778	0.039810576435632	0.0228993173343655	-5906
1.80096446545711	0	0	0	0	HES4	0.599136818640583	0.0144686373596275	0.00871926485710124	-1740
-0.659885729009745	0	0	0	0	FAM132A	0.56382873380929	0.00354143837521848	0.00199985394021769	5339
-1.35382095030263	0	0	0	0	TNFRSF18	0.391432364731364	0.0023766805946149	0.000931657281576689	3102
1.23324063056091	0	0	0	0	SDF4	0.621072082758116	0.0104728240581316	0.00653029398827966	281
-0.0950873440179077	0	0	0	0	TNFRSF4	0.518055172118216	0.00489752891970562	0.00254319310295607	2758
-1.57410940693646	0	0	0	0	TTLL10	0.376628491294185	0.00209386187262455	0.000789638764680292	3091
2.19951486199932	0	0	0	0	UBE2J2	0.558895300035922	0.0181375619939287	0.0102187542046609	-3738
-0.257046972164606	0	0	0	0	ATAD3C	0.650335334927687	0.00446295470629984	0.00290695369374562	5867
-0.782176170261628	0	0	0	0	MRPL20	0.469826383153674	0.00330119225073122	0.00155370660258964	3602
1.07088061645952	0	0	0	0	CPSF3L	0.155709284328044	0.0095460997239714	0.00149849379509023	-2235
0.657050503544357	0	0	0	0	AURKAIP1	0.34085625180316	0.00753547381277045	0.00258133484949989	-1865
2.91487778466166	0	0	0	0	SSU72	0.581462806034931	0.0271429845059317	0.0159639927521829	-4536
